City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,biltine,14.5333,20.9167,32.47,38,77,5.05,TD,1696187619
336,gorodoviki,46.1353,41.9656,16.5,51,13,4.01,RU,1696187619
337,norman gardens,-23.3224,150.5393,16.29,82,0,1.03,AU,1696187619
338,cuyo,10.8525,121.0086,28.51,79,87,7.46,PH,1696187619
339,marsa alam,25.0757,34.8918,30.44,52,10,6.0,EG,1696187619
340,loen,7.7601,168.2307,28.29,78,100,4.09,MH,1696187619
341,vernon,50.2581,-119.2691,13.34,66,13,1.03,CA,1696187620
342,kavaratti,10.5669,72.642,27.65,81,92,6.8,IN,1696187620
343,uchiza,-8.4592,-76.4633,35.15,34,100,1.34,PE,1696187620
344,tukzar,35.9483,66.4213,12.68,37,0,1.25,AF,1696187620
345,tucuma,-0.1833,-50.05,32.44,57,100,6.53,BR,1696187620
346,ad dilam,23.9915,47.1627,31.23,17,0,2.21,SA,1696187620
347,polyarnyy,69.1989,33.4478,6.26,81,100,6.65,RU,1696187620
348,pisco,-13.7,-76.2167,21.12,73,0,5.14,PE,1696187620
349,mary,37.0,62.5,18.91,19,0,3.84,TM,1696187620
350,debesy,57.6529,53.8049,12.15,68,80,5.12,RU,1696187620
351,vilyuysk,63.7553,121.6247,5.56,83,100,1.79,RU,1696187620
352,fort st. john,56.2499,-120.8529,12.94,47,75,6.69,CA,1696187561
353,san lorenzo de esmeraldas,1.2883,-78.8369,28.23,74,100,4.05,EC,1696187620
354,la condamine,43.7344,7.4202,25.23,60,0,2.06,MC,1696187620
355,prince albert,53.2001,-105.7677,7.97,93,100,2.06,CA,1696187621
356,ushtobe,45.2514,77.9838,14.6,49,100,5.8,KZ,1696187621
357,eenhana,-17.4667,16.3333,25.84,10,7,3.29,NA,1696187621
358,jiangyou,31.7667,104.7167,18.93,85,100,0.53,CN,1696187621
359,matoury,4.8483,-52.3317,31.98,66,20,5.14,GF,1696187621
360,carutapera,-1.195,-46.02,30.02,64,100,5.75,BR,1696187621
361,srikakulam,18.3,83.9,27.25,87,100,3.04,IN,1696187621
362,sierra vista,31.5545,-110.3037,28.71,25,20,12.86,US,1696187621
